Macrotrends Data Download,,,
,,,
China GDP 1960-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
31-12-65,70.43600864,98.49,16.95
31-12-66,76.72000549,104.32,10.65
31-12-67,72.88136488,96.59,-5.77
31-12-68,70.84627605,91.47,-4.1
31-12-69,79.70561485,100.13,16.94
31-12-70,92.60263489,113.16,19.3
31-12-71,99.80059379,118.65,7.06
31-12-72,113.689308,131.89,3.81
31-12-73,138.5431705,157.09,7.76
31-12-74,144.1889708,160.15,2.31
31-12-75,163.4295307,178.34,8.72
31-12-76,153.9392659,165.40,-1.57
31-12-77,174.9359331,185.42,7.57
31-12-78,218.5021691,228.52,11.326
31-12-79,263.7117288,272.15,7.5913
31-12-80,306.1653149,312.02,7.8341
31-12-81,289.5765818,291.36,5.1128
31-12-82,283.928673,281.50,9.0171
31-12-83,304.7489042,297.81,10.7702
31-12-84,313.7285477,302.59,15.1915
31-12-85,309.835803,294.79,13.4307
31-12-86,300.5142045,281.70,8.95
31-12-87,327.0894031,301.73,11.6574
31-12-88,407.8446704,370.22,11.2226
31-12-89,456.2891221,407.89,4.2063
31-12-90,394.5657473,347.58,3.9203
31-12-91,413.3754454,359.21,9.2628
31-12-92,493.1369619,423.30,14.2245
31-12-93,619.1119465,525.37,13.8837
31-12-94,564.3218545,473.49,13.0368
31-12-95,734.4848346,609.60,10.954
31-12-96,863.7493147,709.42,9.9226
31-12-97,961.601981,781.74,9.2368
31-12-98,1029.060748,828.59,7.846
31-12-99,1094.010483,873.30,7.6617
31-12-00,1211.331652,959.36,8.4901
31-12-01,1339.400897,1053.11,8.3357
31-12-02,1470.557655,1148.51,9.1336
31-12-03,1660.280544,1288.64,10.038
31-12-04,1955.346769,1508.67,10.1136
31-12-05,2285.96115,1753.41,11.3946
31-12-06,2752.118657,2099.22,12.721
31-12-07,3550.327803,2693.96,14.2309
31-12-08,4594.336786,3468.33,9.6507
31-12-09,5101.691124,3832.23,9.3987
31-12-10,6087.191747,4550.47,10.6359
31-12-11,7551.545704,5614.39,9.5508
31-12-12,8532.185382,6300.58,7.8637
31-12-13,9570.471112,7020.39,7.7662
31-12-14,10475.62494,7636.07,7.4258
31-12-15,11061.57262,8016.45,7.0413
31-12-16,11233.31373,8094.39,6.8488
31-12-17,12310.49133,8817.05,6.9472
31-12-18,13894.90786,9905.41,6.7498
31-12-19,14279.96851,10143.86,5.9505
31-12-20,14687.74416,10408.72,2.2386
31-12-21,17820.45951,12617.51,8.4485
31-12-22,17963.17148,12720.22,2.9891
31-12-23,,12174.00,
