Macrotrends Data Download

China Population 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,543979233
1951-12-31,553613988,1.77
1952-12-31,564954522,2.05
1953-12-31,577378682,2.2
1954-12-31,589936004,2.17
1955-12-31,603320147,2.27
1956-12-31,616283022,2.15
1957-12-31,630003025,2.23
1958-12-31,643791581,2.19
1959-12-31,652179194,1.3
1960-12-31,654170692,0.31
1961-12-31,655260380,0.17
1962-12-31,664614650,1.43
1963-12-31,683903557,2.9
1964-12-31,704593772,3.03
1965-12-31,723846349,2.73
1966-12-31,742948541,2.64
1967-12-31,761006260,2.43
1968-12-31,780371956,2.54
1969-12-31,801430976,2.7
1970-12-31,822534450,2.63
1971-12-31,843285424,2.52
1972-12-31,862840403,2.32
1973-12-31,881652080,2.18
1974-12-31,899367640,2.01
1975-12-31,915124661,1.75
1976-12-31,929375924,1.56
1977-12-31,942581333,1.42
1978-12-31,955138943,1.33
1979-12-31,968298969,1.38
1980-12-31,982372466,1.45
1981-12-31,997259502,1.52
1982-12-31,1013483166,1.63
1983-12-31,1029226907,1.55
1984-12-31,1044172197,1.45
1985-12-31,1060239979,1.54
1986-12-31,1077770523,1.65
1987-12-31,1096851843,1.77
1988-12-31,1115889802,1.74
1989-12-31,1134414723,1.66
1990-12-31,1153704252,1.7
1991-12-31,1170626171,1.47
1992-12-31,1183813389,1.13
1993-12-31,1195855558,1.02
1994-12-31,1207286675,0.96
1995-12-31,1218144426,0.9
1996-12-31,1228298836,0.83
1997-12-31,1237801448,0.77
1998-12-31,1246836105,0.73
1999-12-31,1255433236,0.69
2000-12-31,1264099069,0.69
2001-12-31,1272739582,0.68
2002-12-31,1280926120,0.64
2003-12-31,1288873367,0.62
2004-12-31,1296816711,0.62
2005-12-31,1304887562,0.62
2006-12-31,1313086567,0.63
2007-12-31,1321513224,0.64
2008-12-31,1330167148,0.65
2009-12-31,1339125595,0.67
2010-12-31,1348191368,0.68
2011-12-31,1357095481,0.66
2012-12-31,1366560818,0.7
2013-12-31,1376100308,0.7
2014-12-31,1385189668,0.66
2015-12-31,1393715448,0.62
2016-12-31,1401889681,0.59
2017-12-31,1410275957,0.6
2018-12-31,1417069468,0.48
2019-12-31,1421864031,0.34
2020-12-31,1424929781,0.22
2021-12-31,1425893465,0.07
2022-12-31,1425887337,0
2023-12-31,1425671352,-0.02
2024-12-31,1425178782,-0.03
2025-12-31,1424381924,-0.06
2026-12-31,1423255202,-0.08
2027-12-31,1421809059,-0.1
2028-12-31,1420045580,-0.12
2029-12-31,1417974640,-0.15
2030-12-31,1415605906,-0.17
2031-12-31,1412946005,-0.19
2032-12-31,1410012866,-0.21
2033-12-31,1406810379,-0.23
2034-12-31,1403314815,-0.25
2035-12-31,1399547500,-0.27
2036-12-31,1395546723,-0.29
2037-12-31,1391338420,-0.3
2038-12-31,1386952006,-0.32
2039-12-31,1382367124,-0.33
2040-12-31,1377556938,-0.35
2041-12-31,1372522398,-0.37
2042-12-31,1367267104,-0.38
2043-12-31,1361737252,-0.4
2044-12-31,1355912820,-0.43
2045-12-31,1349756901,-0.45
2046-12-31,1343210240,-0.49
2047-12-31,1336262908,-0.52
2048-12-31,1328873607,-0.55
2049-12-31,1321004205,-0.59
2050-12-31,1312636325,-0.63
2051-12-31,1303756600,-0.68
2052-12-31,1294381091,-0.72
2053-12-31,1284539877,-0.76
2054-12-31,1274244756,-0.8
2055-12-31,1263512555,-0.84
2056-12-31,1252371989,-0.88
2057-12-31,1240879992,-0.92
2058-12-31,1229126156,-0.95
2059-12-31,1217157937,-0.97
2060-12-31,1205020650,-1
2061-12-31,1192805228,-1.01
2062-12-31,1180553369,-1.03
2063-12-31,1168316258,-1.04
2064-12-31,1156145638,-1.04
2065-12-31,1144050917,-1.05
2066-12-31,1132053398,-1.05
2067-12-31,1120182122,-1.05
2068-12-31,1108424585,-1.05
2069-12-31,1096787141,-1.05
2070-12-31,1085287617,-1.05
2071-12-31,1073902382,-1.05
2072-12-31,1062612890,-1.05
2073-12-31,1051380906,-1.06
2074-12-31,1040194852,-1.06
2075-12-31,1029035605,-1.07
2076-12-31,1017860468,-1.09
2077-12-31,1006663149,-1.1
2078-12-31,995438005,-1.12
2079-12-31,984185394,-1.13
2080-12-31,972906892,-1.15
2081-12-31,961612985,-1.16
2082-12-31,950338414,-1.17
2083-12-31,939100122,-1.18
2084-12-31,927912386,-1.19
2085-12-31,916808802,-1.2
2086-12-31,905821025,-1.2
2087-12-31,894960252,-1.2
2088-12-31,884243881,-1.2
2089-12-31,873694710,-1.19
2090-12-31,863319535,-1.19
2091-12-31,853111777,-1.18
2092-12-31,843067032,-1.18
2093-12-31,833162188,-1.17
2094-12-31,823380978,-1.17
2095-12-31,813718728,-1.17
2096-12-31,804153594,-1.18
2097-12-31,794673479,-1.18
2098-12-31,785270314,-1.18
2099-12-31,775944429,-1.19
2100-12-31,766673270,-1.19
