Macrotrends Data Download,,,
,,,
Japan GDP 1960-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
31-12-65,90.95027826,928.5188,5.8197
31-12-66,105.6280703,1068.5584,10.6386
31-12-67,123.7818802,1239.3184,11.0821
31-12-68,146.6010727,1451.3377,12.8825
31-12-69,172.2041995,1684.6594,12.4779
31-12-70,217.2236527,2100.7481,2.455
31-12-71,245.3640566,2321.3909,4.699
31-12-72,324.9338413,3031.4386,8.4135
31-12-73,441.4605825,4061.0134,8.0326
31-12-74,490.03579,4448.3197,-1.2252
31-12-75,532.8614389,4775.8995,3.0916
31-12-76,598.8839022,5310.4314,3.975
31-12-77,737.0692909,6472.7878,4.3903
31-12-78,1035.611588,9012.136,5.2719
31-12-79,1077.910078,9301.1483,5.484
31-12-80,1129.377245,9668.7463,2.8176
31-12-81,1245.221411,10583.1279,4.2606
31-12-82,1158.731427,9779.9749,3.2797
31-12-83,1270.85992,10652.0147,3.6302
31-12-84,1345.824501,11207.4524,4.4109
31-12-85,1427.01976,11809.4603,5.1598
31-12-86,2120.083812,17451.8349,3.294
31-12-87,2580.748423,21141.7184,4.6489
31-12-88,3125.724434,25499.8812,6.6616
31-12-89,3109.455048,25265.9488,4.9258
31-12-90,3185.904657,25801.395,4.8409
31-12-91,3648.065761,29428.4289,3.5234
31-12-92,3980.702922,31992.7902,0.9006
31-12-93,4536.940479,36345.2441,-0.4592
31-12-94,4998.797548,39933.5151,1.0834
31-12-95,5545.563664,44197.6191,2.631
31-12-96,4923.391534,39150.0396,3.1339
31-12-97,4492.448606,35638.232,0.9812
31-12-98,4098.36271,32423.7556,-1.2703
31-12-99,4635.982224,36610.1683,-0.3339
31-12-00,4968.359076,39169.3596,2.7646
31-12-01,4374.711694,34406.1825,0.3861
31-12-02,4182.846046,32820.7936,0.042
31-12-03,4519.561645,35387.0374,1.5351
31-12-04,4893.116006,38298.9802,2.1861
31-12-05,4831.467035,37812.895,1.8039
31-12-06,4601.663123,35991.546,1.3724
31-12-07,4579.75092,35779.0245,1.484
31-12-08,5106.679115,39876.304,-1.2243
31-12-09,5289.493118,41308.9968,-5.6932
31-12-10,5759.071769,44968.1562,4.0979
31-12-11,6233.147172,48760.0789,0.0238
31-12-12,6272.362996,49145.2804,1.3748
31-12-13,5212.328181,40898.6479,2.0051
31-12-14,4896.994405,38475.3952,0.2962
31-12-15,4444.930652,34960.6394,1.5606
31-12-16,5003.677628,39375.4732,0.7538
31-12-17,4930.837369,38834.0529,1.6753
31-12-18,5040.880939,39751.1331,0.6434
31-12-19,5117.993853,40415.9568,-0.4022
31-12-20,5055.587094,40040.7655,-4.1471
31-12-21,5034.620785,40058.5373,2.5593
31-12-22,4256.410761,34017.2718,0.9547
