Macrotrends Data Download,,
,,
Japan Population 1950-2024,,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date,  Population , Annual % Change
31-12-65,"99,468,746",1.17
31-12-66,"100,466,907",1
31-12-67,"101,527,852",1.06
31-12-68,"102,819,279",1.27
31-12-69,"104,102,077",1.25
31-12-70,"105,416,839",1.26
31-12-71,"106,789,355",1.3
31-12-72,"108,220,404",1.34
31-12-73,"109,679,470",1.35
31-12-74,"111,100,023",1.3
31-12-75,"112,411,640",1.18
31-12-76,"113,624,865",1.08
31-12-77,"114,761,516",1
31-12-78,"115,809,525",0.91
31-12-79,"116,765,509",0.83
31-12-80,"117,624,196",0.74
31-12-81,"118,385,723",0.65
31-12-82,"119,098,142",0.6
31-12-83,"119,793,752",0.58
31-12-84,"120,470,727",0.57
31-12-85,"121,119,031",0.54
31-12-86,"121,710,305",0.49
31-12-87,"122,268,885",0.46
31-12-88,"122,798,302",0.43
31-12-89,"123,270,648",0.38
31-12-90,"123,686,321",0.34
31-12-91,"124,073,993",0.31
31-12-92,"124,444,693",0.3
31-12-93,"124,779,576",0.27
31-12-94,"125,119,269",0.27
31-12-95,"125,433,969",0.25
31-12-96,"125,726,223",0.23
31-12-97,"126,027,985",0.24
31-12-98,"126,308,390",0.22
31-12-99,"126,555,063",0.2
31-12-00,"126,803,861",0.2
31-12-01,"127,065,731",0.21
31-12-02,"127,301,750",0.19
31-12-03,"127,502,352",0.16
31-12-04,"127,671,288",0.13
31-12-05,"127,798,373",0.1
31-12-06,"127,902,167",0.08
31-12-07,"128,006,426",0.08
31-12-08,"128,077,633",0.06
31-12-09,"128,117,042",0.03
31-12-10,"128,105,431",-0.01
31-12-11,"128,007,257",-0.08
31-12-12,"127,853,688",-0.12
31-12-13,"127,678,924",-0.14
31-12-14,"127,476,735",-0.16
31-12-15,"127,250,933",-0.18
31-12-16,"126,993,857",-0.2
31-12-17,"126,662,472",-0.26
31-12-18,"126,255,866",-0.32
31-12-19,"125,791,677",-0.37
31-12-20,"125,244,761",-0.43
31-12-21,"124,612,530",-0.5
31-12-22,"123,951,692",-0.53
31-12-23,"123,294,513",-0.53
31-12-24,"122,631,432",-0.54
31-12-25,"121,960,408",-0.55
31-12-26,"121,282,488",-0.56
31-12-27,"120,600,599",-0.56
31-12-28,"119,912,238",-0.57
31-12-29,"119,217,097",-0.58
31-12-30,"118,514,802",-0.59
31-12-31,"117,805,680",-0.6
31-12-32,"117,090,083",-0.61
31-12-33,"116,368,193",-0.62
31-12-34,"115,641,077",-0.62
31-12-35,"114,907,058",-0.63
31-12-36,"114,164,955",-0.65
31-12-37,"113,416,742",-0.66
31-12-38,"112,664,566",-0.66
31-12-39,"111,910,716",-0.67
31-12-40,"111,157,201",-0.67
31-12-41,"110,405,207",-0.68
31-12-42,"109,654,640",-0.68
31-12-43,"108,903,960",-0.68
31-12-44,"108,155,545",-0.69
31-12-45,"107,412,293",-0.69
31-12-46,"106,674,353",-0.69
31-12-47,"105,942,538",-0.69
31-12-48,"105,216,618",-0.69
31-12-49,"104,497,283",-0.68
31-12-50,"103,784,357",-0.68
31-12-51,"103,076,686",-0.68
31-12-52,"102,373,741",-0.68
31-12-53,"101,672,959",-0.68
31-12-54,"100,969,712",-0.69
31-12-55,"100,261,155",-0.7
31-12-56,"99,547,977",-0.71
31-12-57,"98,829,212",-0.72
31-12-58,"98,103,898",-0.73
31-12-59,"97,371,456",-0.75
31-12-60,"96,631,457",-0.76
31-12-61,"95,885,918",-0.77
31-12-62,"95,135,942",-0.78
31-12-63,"94,381,509",-0.79
31-12-64,"93,622,768",-0.8
31-12-65,"92,862,515",-0.81
31-12-66,"92,104,053",-0.82
31-12-67,"91,348,808",-0.82
31-12-68,"90,601,494",-0.82
31-12-69,"89,863,719",-0.81
31-12-70,"89,136,819",-0.81
31-12-71,"88,424,325",-0.8
31-12-72,"87,727,655",-0.79
31-12-73,"87,048,361",-0.77
31-12-74,"86,388,769",-0.76
31-12-75,"85,749,785",-0.74
31-12-76,"85,129,656",-0.72
31-12-77,"84,529,212",-0.71
31-12-78,"83,948,386",-0.69
31-12-79,"83,384,467",-0.67
31-12-80,"82,836,599",-0.66
31-12-81,"82,305,350",-0.64
31-12-82,"81,787,526",-0.63
31-12-83,"81,280,426",-0.62
31-12-84,"80,784,469",-0.61
31-12-85,"80,297,790",-0.6
31-12-86,"79,817,820",-0.6
31-12-87,"79,344,369",-0.59
31-12-88,"78,877,798",-0.59
31-12-89,"78,416,133",-0.59
31-12-90,"77,959,318",-0.58
31-12-91,"77,507,344",-0.58
31-12-92,"77,059,254",-0.58
31-12-93,"76,615,267",-0.58
31-12-94,"76,175,514",-0.57
31-12-95,"75,741,100",-0.57
31-12-96,"75,310,678",-0.57
31-12-97,"74,884,753",-0.57
31-12-98,"74,465,689",-0.56
31-12-99,"74,051,908",-0.56
31-12-00,"73,644,064",-0.55
