Macrotrends Data Download,,,
,,,
Russia GDP 1960-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
31-12-60,0,0,0
31-12-61,0,0,0
31-12-62,0,0,0
31-12-63,0,0,0
31-12-64,0,0,0
31-12-65,0,0,0
31-12-66,0,0,0
31-12-67,0,0,0
31-12-68,0,0,0
31-12-69,0,0,0
31-12-70,0,0,0
31-12-71,0,0,0
31-12-72,0,0,0
31-12-73,0,0,0
31-12-74,0,0,0
31-12-75,0,0,0
31-12-76,0,0,0
31-12-77,0,0,0
31-12-78,0,0,0
31-12-79,0,0,0
31-12-80,0,0,0
31-12-81,0,0,0
31-12-82,0,0,0
31-12-83,0,0,0
31-12-84,0,0,0
31-12-85,0,0,0
31-12-86,0,0,0
31-12-87,0,0,0
31-12-88,554.8286604,3778.0198,0
31-12-89,506.6312997,3429.6499,0
31-12-90,517.0144462,3494.063,-3
31-12-91,517.962963,3490.4524,-5.0469
31-12-92,460.2905569,3098.8027,-14.5311
31-12-93,435.0837139,2930.6702,-8.6685
31-12-94,395.0773012,2662.104,-12.5698
31-12-95,395.5371857,2665.7798,-4.1435
31-12-96,391.7248907,2643.9292,-3.7551
31-12-97,404.9289542,2737.572,1.3999
31-12-98,270.9554869,1834.8618,-5.3
31-12-99,195.9071284,1330.7572,6.3999
31-12-00,259.7101422,1771.5941,10.0001
31-12-01,306.6020706,2100.3525,5.1001
31-12-02,345.4704944,2377.5295,4.7
31-12-03,430.3474202,2975.123,7.3
31-12-04,591.0166907,4102.3647,7.1999
31-12-05,764.0159735,5323.4551,6.4
31-12-06,989.9320714,6920.1997,8.2001
31-12-07,1299.703478,9101.2393,8.5
31-12-08,1660.848058,11635.2842,5.2
31-12-09,1222.6459,8562.8242,-7.8
31-12-10,1524.916715,10674.9902,4.5
31-12-11,2045.922753,14311.0645,4.3
31-12-12,2208.293554,15420.8594,4.0241
31-12-13,2292.470078,15974.6221,1.7554
31-12-14,2059.24159,14095.6465,0.7363
31-12-15,1363.482182,9313.0215,-1.9727
31-12-16,1276.786351,8704.8945,0.1937
31-12-17,1574.19936,10720.332,1.8258
31-12-18,1657.328773,11287.3545,2.8072
31-12-19,1693.115003,11536.2588,2.1981
31-12-20,1493.075894,10194.4414,-2.6537
31-12-21,1836.892076,12532.0508,5.6143
31-12-22,2240.422427,15270.7061,-2.0697
