Macrotrends Data Download,,
,,
Russia Population 1950-2024,,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date,  Population , Annual % Change
31-12-85,"142,896,392",0.71
31-12-86,"144,046,482",0.8
31-12-87,"145,312,019",0.88
31-12-88,"146,464,378",0.79
31-12-89,"147,341,508",0.6
31-12-90,"148,005,704",0.45
31-12-91,"148,455,402",0.3
31-12-92,"148,725,601",0.18
31-12-93,"148,897,270",0.12
31-12-94,"148,829,113",-0.05
31-12-95,"148,557,451",-0.18
31-12-96,"148,233,411",-0.22
31-12-97,"147,939,972",-0.2
31-12-98,"147,672,728",-0.18
31-12-99,"147,336,388",-0.23
31-12-00,"146,844,839",-0.33
31-12-01,"146,235,530",-0.41
31-12-02,"145,590,136",-0.44
31-12-03,"144,946,723",-0.44
31-12-04,"144,353,636",-0.41
31-12-05,"143,800,049",-0.38
31-12-06,"143,338,669",-0.32
31-12-07,"143,117,693",-0.15
31-12-08,"143,086,549",-0.02
31-12-09,"143,163,643",0.05
31-12-10,"143,242,599",0.06
31-12-11,"143,364,543",0.09
31-12-12,"143,629,362",0.18
31-12-13,"143,956,866",0.23
31-12-14,"144,285,070",0.23
31-12-15,"144,668,389",0.27
31-12-16,"145,109,157",0.3
31-12-17,"145,452,536",0.24
31-12-18,"145,652,293",0.14
31-12-19,"145,742,286",0.06
31-12-20,"145,617,329",-0.09
31-12-21,"145,102,755",-0.35
31-12-22,"144,713,314",-0.27
31-12-23,"144,444,359",-0.19
31-12-24,"143,957,079",-0.34
31-12-25,"143,494,210",-0.32
31-12-26,"143,065,413",-0.3
31-12-27,"142,662,574",-0.28
31-12-28,"142,263,180",-0.28
31-12-29,"141,854,940",-0.29
31-12-30,"141,432,741",-0.3
31-12-31,"141,000,041",-0.31
31-12-32,"140,559,555",-0.31
31-12-33,"140,115,666",-0.32
31-12-34,"139,670,938",-0.32
31-12-35,"139,227,987",-0.32
31-12-36,"138,790,761",-0.31
31-12-37,"138,360,672",-0.31
31-12-38,"137,938,508",-0.31
31-12-39,"137,521,801",-0.3
31-12-40,"137,110,991",-0.3
31-12-41,"136,709,408",-0.29
31-12-42,"136,317,799",-0.29
31-12-43,"135,935,122",-0.28
31-12-44,"135,554,900",-0.28
31-12-45,"135,171,274",-0.28
31-12-46,"134,783,212",-0.29
31-12-47,"134,390,857",-0.29
31-12-48,"133,988,174",-0.3
31-12-49,"133,568,298",-0.31
31-12-50,"133,133,035",-0.33
31-12-51,"132,680,696",-0.34
31-12-52,"132,208,665",-0.36
31-12-53,"131,720,512",-0.37
31-12-54,"131,217,865",-0.38
31-12-55,"130,700,222",-0.39
31-12-56,"130,169,445",-0.41
31-12-57,"129,627,234",-0.42
31-12-58,"129,076,299",-0.43
31-12-59,"128,519,549",-0.43
31-12-60,"127,957,595",-0.44
31-12-61,"127,393,455",-0.44
31-12-62,"126,828,583",-0.44
31-12-63,"126,266,229",-0.44
31-12-64,"125,708,193",-0.44
31-12-65,"125,152,477",-0.44
31-12-66,"124,601,187",-0.44
31-12-67,"124,056,898",-0.44
31-12-68,"123,525,046",-0.43
31-12-69,"123,004,018",-0.42
31-12-70,"122,489,972",-0.42
31-12-71,"121,987,126",-0.41
31-12-72,"121,497,299",-0.4
31-12-73,"121,020,281",-0.39
31-12-74,"120,554,337",-0.39
31-12-75,"120,100,789",-0.38
31-12-76,"119,660,728",-0.37
31-12-77,"119,232,643",-0.36
31-12-78,"118,818,000",-0.35
31-12-79,"118,417,124",-0.34
31-12-80,"118,030,379",-0.33
31-12-81,"117,656,213",-0.32
31-12-82,"117,292,124",-0.31
31-12-83,"116,940,031",-0.3
31-12-84,"116,601,011",-0.29
31-12-85,"116,274,231",-0.28
31-12-86,"115,958,095",-0.27
31-12-87,"115,652,642",-0.26
31-12-88,"115,356,684",-0.26
31-12-89,"115,068,352",-0.25
31-12-90,"114,785,573",-0.25
31-12-91,"114,508,299",-0.24
31-12-92,"114,237,495",-0.24
31-12-93,"113,969,018",-0.24
31-12-94,"113,699,861",-0.24
31-12-95,"113,429,989",-0.24
31-12-96,"113,158,372",-0.24
31-12-97,"112,885,713",-0.24
31-12-98,"112,612,788",-0.24
31-12-99,"112,339,929",-0.24
31-12-00,"112,068,747",-0.24
