Macrotrends Data Download,,
,,
U.S. Population 1950-2024,,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date,  Population , Annual % Change
31-12-65," 189,703,283 ",1.3
31-12-66," 191,830,975 ",1.12
31-12-67," 193,782,438 ",1.02
31-12-68," 195,743,427 ",1.01
31-12-69," 197,859,329 ",1.08
31-12-70," 200,328,340 ",1.25
31-12-71," 202,907,917 ",1.29
31-12-72," 205,238,390 ",1.15
31-12-73," 207,314,764 ",1.01
31-12-74," 209,277,968 ",0.95
31-12-75," 211,274,535 ",0.95
31-12-76," 213,270,022 ",0.94
31-12-77," 215,437,405 ",1.02
31-12-78," 217,881,437 ",1.13
31-12-79," 220,463,115 ",1.18
31-12-80," 223,140,018 ",1.21
31-12-81," 225,654,008 ",1.13
31-12-82," 228,001,418 ",1.04
31-12-83," 230,389,964 ",1.05
31-12-84," 232,766,280 ",1.03
31-12-85," 235,146,182 ",1.02
31-12-86," 237,512,783 ",1.01
31-12-87," 239,853,168 ",0.99
31-12-88," 242,287,814 ",1.02
31-12-89," 244,954,094 ",1.1
31-12-90," 248,083,732 ",1.28
31-12-91," 251,560,189 ",1.4
31-12-92," 255,175,339 ",1.44
31-12-93," 258,779,753 ",1.41
31-12-94," 262,273,589 ",1.35
31-12-95," 265,660,556 ",1.29
31-12-96," 268,984,347 ",1.25
31-12-97," 272,395,438 ",1.27
31-12-98," 275,835,018 ",1.26
31-12-99," 279,181,581 ",1.21
31-12-00," 282,398,554 ",1.15
31-12-01," 285,470,493 ",1.09
31-12-02," 288,350,252 ",1.01
31-12-03," 291,109,820 ",0.96
31-12-04," 293,947,885 ",0.97
31-12-05," 296,842,670 ",0.98
31-12-06," 299,753,098 ",0.98
31-12-07," 302,743,399 ",1
31-12-08," 305,694,910 ",0.97
31-12-09," 308,512,035 ",0.92
31-12-10," 311,182,845 ",0.87
31-12-11," 313,876,608 ",0.87
31-12-12," 316,651,321 ",0.88
31-12-13," 319,375,166 ",0.86
31-12-14," 322,033,964 ",0.83
31-12-15," 324,607,776 ",0.8
