Country,Code,Year,GDP_per_capita,Oil_consumption_TWh,Population
China,CHN,1965,98.49,129.06,723846349
China,CHN,1966,104.32,165.8,742948541
China,CHN,1967,96.59,163.69,761006260
China,CHN,1968,91.47,179.03,780371956
China,CHN,1969,100.13,240.04,801430976
China,CHN,1970,113.16,332.05,822534450
China,CHN,1971,118.65,451.58,843285424
China,CHN,1972,131.89,519.7,862840403
China,CHN,1973,157.09,633.98,881652080
China,CHN,1974,160.15,729.07,899367640
China,CHN,1975,178.34,804.08,915124661
China,CHN,1976,165.4,919.19,929375924
China,CHN,1977,185.42,971.04,942581333
China,CHN,1978,156.4,1076.64,955138943
China,CHN,1979,183.98,1079.3,968298969
China,CHN,1980,194.8,972.53,982372466
China,CHN,1981,197.07,921.53,997259502
China,CHN,1982,203.33,911.75,1013483166
China,CHN,1983,225.43,930.1,1029226907
China,CHN,1984,250.71,964.89,1044172197
China,CHN,1985,294.46,1010.6,1060239979
China,CHN,1986,281.93,1074.42,1077770523
China,CHN,1987,251.81,1142.23,1096851843
China,CHN,1988,283.54,1229.36,1115889802
China,CHN,1989,310.88,1287.73,1134414723
China,CHN,1990,317.88,1274.57,1153704252
China,CHN,1991,333.14,1379.14,1170626171
China,CHN,1992,366.46,1495.91,1183813389
China,CHN,1993,377.39,1663.78,1195855558
China,CHN,1994,473.49,1690.64,1207286675
China,CHN,1995,609.6,1825.63,1218144426
China,CHN,1996,709.42,2023.03,1228298836
China,CHN,1997,781.74,2221.55,1237801448
China,CHN,1998,828.59,2287.59,1246836105
China,CHN,1999,873.29,2437.24,1255433236
China,CHN,2000,959.36,2626.9,1264099069
China,CHN,2001,1053.11,2683.25,1272739582
China,CHN,2002,1148.51,2895.6,1280926120
China,CHN,2003,1288.64,3234.76,1288873367
China,CHN,2004,1508.67,3777.77,1296816711
China,CHN,2005,1753.41,3838.49,1304887562
China,CHN,2006,2099.22,4116.77,1313086567
China,CHN,2007,2693.96,4313.57,1321513224
China,CHN,2008,3468.33,4408.09,1330167148
China,CHN,2009,3832.23,4580.3,1339125595
China,CHN,2010,4550.47,5214.49,1348191368
China,CHN,2011,5614.39,5390.73,1357095481
China,CHN,2012,6300.58,5654.3,1366560818
China,CHN,2013,7020.39,5907.47,1376100308
China,CHN,2014,7636.07,6142.52,1385189668
China,CHN,2015,8016.45,6609.9,1393715448
China,CHN,2016,8094.39,6823.58,1401889681
China,CHN,2017,8817.05,7183.17,1410275957
China,CHN,2018,9905.41,7528.74,1417069468
China,CHN,2019,10143.86,7891.51,1421864031
China,CHN,2020,10408.72,7959.67,1424929781
China,CHN,2021,12617.51,8174.09,1425893465
China,CHN,2022,12662.58,8198.39,1425887337
China,CHN,2023,12614.06,9090.51,1425671352
United States,USA,1965,3818.29,6414.48,189703283
United States,USA,1966,4136.31,6731.25,191830975
United States,USA,1967,4325.96,6988.79,193782438
United States,USA,1968,4684.59,7457.96,195743427
United States,USA,1969,5020,7831.84,197859329
United States,USA,1970,5234.3,8176.19,200328340
United States,USA,1971,5609.38,8461.68,202907917
United States,USA,1972,6094.02,9119.91,205238390
United States,USA,1973,6726.36,9655.26,207314764
United States,USA,1974,7225.69,9271.51,209277968
United States,USA,1975,7801.46,9049.84,211274535
United States,USA,1976,8592.25,9729.6,213270022
United States,USA,1977,9452.58,10271.53,215437405
United States,USA,1978,10564.95,10501.41,217881437
United States,USA,1979,11674.18,10257.83,220463115
United States,USA,1980,12574.79,9453.47,223140018
United States,USA,1981,13976.11,8812.76,225654008
United States,USA,1982,14433.79,8350.53,228001418
United States,USA,1983,15543.89,8311.48,230389964
United States,USA,1984,17121.23,8573.32,232766280
United States,USA,1985,18236.83,8540.44,235146182
United States,USA,1986,19071.23,8955.23,237512783
United States,USA,1987,20038.94,9141.37,239853168
United States,USA,1988,21417.01,9520.58,242287814
United States,USA,1989,22857.15,9516.24,244954094
United States,USA,1990,23888.6,9309.47,248083732
United States,USA,1991,24342.26,9111.92,251560189
United States,USA,1992,25418.99,9301.15,255175339
United States,USA,1993,26387.29,9382.41,258779753
United States,USA,1994,27694.85,9623.49,262273589
United States,USA,1995,28690.88,9600.03,265660556
United States,USA,1996,29967.71,9951.11,268984347
United States,USA,1997,31459.13,10083.61,272395438
United States,USA,1998,32853.67,10251.98,275835018
United States,USA,1999,34515.38,10537.06,279181581
United States,USA,2000,36329.97,10654.94,282398554
United States,USA,2001,37133.62,10642.43,285470493
United States,USA,2002,37997.74,10641.83,288350252
United States,USA,2003,39490.3,10806.65,291109820
United States,USA,2004,41724.64,11199.44,293947885
United States,USA,2005,44123.4,11216.51,296842670
United States,USA,2006,46301.99,11072.75,299753098
United States,USA,2007,48050.23,11004.68,302743399
United States,USA,2008,48570.06,10275.43,305694910
United States,USA,2009,47194.95,9742.24,308512035
United States,USA,2010,48650.66,9892.91,311182845
United States,USA,2011,50065.98,9697.58,313876608
United States,USA,2012,51784.41,9472.09,316651321
United States,USA,2013,53409.75,9628.43,319375166
United States,USA,2014,55304.32,9692.96,322033964
United States,USA,2015,57040.21,9891.11,324607776
United States,USA,2016,58206.61,9965.48,327210198
United States,USA,2017,60322.26,10062.59,329791231
United States,USA,2018,63201.05,10303.76,332140037
United States,USA,2019,65548.07,10287.68,334319671
United States,USA,2020,64317.4,9035.32,335942003
United States,USA,2021,71055.88,9868.99,336997624
United States,USA,2022,77246.67,9930.59,338289857
United States,USA,2023,81695.19,9960.66,339996563
Japan,JPN,1965,928.52,1022.04,99468746
Japan,JPN,1966,1068.56,1220.07,100466907
Japan,JPN,1967,1239.32,1445.04,101527852
Japan,JPN,1968,1451.34,1645.58,102819279
Japan,JPN,1969,1684.66,2017.52,104102077
Japan,JPN,1970,2100.75,2444.11,105416839
Japan,JPN,1971,2321.39,2633.41,106789355
Japan,JPN,1972,3031.44,2894.37,108220404
Japan,JPN,1973,4061.01,3271.47,109679470
Japan,JPN,1974,4448.32,3098.38,111100023
Japan,JPN,1975,4775.9,3070.53,112411640
Japan,JPN,1976,5310.43,3215.98,113624865
Japan,JPN,1977,6472.79,3247.23,114761516
Japan,JPN,1978,9012.14,3274.61,115809525
Japan,JPN,1979,9301.15,3221.44,116765509
Japan,JPN,1980,9668.75,2871.16,117624196
Japan,JPN,1981,10583.13,2707.5,118385723
Japan,JPN,1982,9779.97,2555.37,119098142
Japan,JPN,1983,10652.01,2620.62,119793752
Japan,JPN,1984,11207.45,2568.18,120470727
Japan,JPN,1985,11809.46,2509.79,121119031
Japan,JPN,1986,17451.83,2522.56,121710305
Japan,JPN,1987,21141.72,2639.7,122268885
Japan,JPN,1988,25499.88,2798.2,122798302
Japan,JPN,1989,25265.95,2871.37,123270648
Japan,JPN,1990,25801.4,2928.8,123686321
Japan,JPN,1991,29428.43,3023.09,124073993
Japan,JPN,1992,31992.79,3098.17,124444693
Japan,JPN,1993,36345.24,3044.27,124779576
Japan,JPN,1994,39933.52,3212.05,125119269
Japan,JPN,1995,44197.62,3234.18,125433969
Japan,JPN,1996,39150.04,3259.99,125726223
Japan,JPN,1997,35638.23,3224.35,126027985
Japan,JPN,1998,32423.76,3134.14,126308390
Japan,JPN,1999,36610.17,3181.52,126555063
Japan,JPN,2000,39169.36,3179.21,126803861
Japan,JPN,2001,34406.18,3076.01,127065731
Japan,JPN,2002,32820.79,3026.11,127301750
Japan,JPN,2003,35387.04,3117.38,127502352
Japan,JPN,2004,38298.98,3048.32,127671288
Japan,JPN,2005,37812.9,3085.12,127798373
Japan,JPN,2006,35991.55,2975.54,127902167
Japan,JPN,2007,35779.02,2891.68,128006426
Japan,JPN,2008,39876.3,2780.45,128077633
Japan,JPN,2009,41309,2495.38,128117042
Japan,JPN,2010,44968.16,2514.95,128105431
Japan,JPN,2011,48760.08,2512.02,128007257
Japan,JPN,2012,49145.28,2666.3,127853688
Japan,JPN,2013,40898.65,2552.17,127678924
Japan,JPN,2014,38475.4,2422.2,127476735
Japan,JPN,2015,34960.64,2335.94,127250933
Japan,JPN,2016,39375.47,2268.99,126993857
Japan,JPN,2017,38834.05,2244.13,126662472
Japan,JPN,2018,39751.13,2166.8,126255866
Japan,JPN,2019,40415.96,2112.39,125791677
Japan,JPN,2020,40040.77,1877.53,125244761
Japan,JPN,2021,40058.54,1911.6,124612530
Japan,JPN,2022,34017.27,1926.72,123951692
Japan,JPN,2023,33805.94,1848.6,123294513
Russia,RUS,1988,3778.02,2972.01,146464378
Russia,RUS,1989,3429.65,3027.46,147341508
Russia,RUS,1990,3494.06,2984.63,148005704
