Country,Gas proved reserves cubic meters,Population
Algeria,2279200000000,43851043
Argentina,385567750000,45195777
Australia,2389595400000,25499881
Azerbaijan,2503652700000,10139175
Bahrain,64831427000,1701583
Bangladesh,110227270000,164689383
Bolivia,212867680000,11673029
Brazil,348528300000,212559409
Brunei,222300000000,437479
Canada,2353957700000,37742157
China,8398550000000,1439323774
Colombia,86207460000,50882884
Denmark,28027957000,5792203
Egypt,2137712500000,102334403
Germany,19659538000,83783945
India,1320443200000,1380004385
Indonesia,1252271600000,273523621
Iran,32101378000000,83992953
Iraq,3528526000000,40222503
Israel,588557700000,8655541
Italy,42397680000,60461828
Kazakhstan,2257115400000,18776707
Kuwait,1694800000000,4270563
Libya,1429654500000,6871287
Malaysia,908230600000,32365998
Mexico,178069950000,128932753
Burma,432211900000,54409800
Netherlands,129930360000,17134873
Nigeria,5472979500000,206139587
Norway,1429180100000,5421242
Oman,666347500000,5106622
Pakistan,384786330000,220892331
Papua New Guinea,163144480000,8947027
Peru,261442130000,32971846
Poland,72260090000,37846605
Qatar,24665473000000,2881060
Romania,78867750000,19237682
Russia,37391524000000,145934460
Saudi Arabia,6019120400000,34813867
Syria,268612500000,17500657
Thailand,143084030000,69799978
Trinidad and Tobago,289866400000,1399491
Ukraine,1091211000000,43733759
United Arab Emirates,5938725000000,9890400
United Kingdom,186979340000,67886004
United States,12618705000000,331002647
Uzbekistan,845325000000,33469199
Venezuela,6260173300000,28435943
Vietnam,645928650000,97338583
Yemen,265831020000,29825968
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
